@N: MF248 |Running in 64-bit mode.
@N: MF179 :"e:\lwd_nmr\code\lwd_nmr_fpga\20210603good\libero_v11.9\2d_nmr_ec_fpga_150205\hdl\noiseclkctrl.v":42:20:42:33|Found 12 by 12 bit less-than operator ('<') un1_count (in view: work.noiseclkctrl(verilog))
@N: MO231 :"e:\lwd_nmr\code\lwd_nmr_fpga\20210603good\libero_v11.9\2d_nmr_ec_fpga_150205\hdl\noise_addr.v":16:0:16:5|Found counter in view:work.noise_addr_0(verilog) instance addr[11:0] 
@N: MO231 :"e:\lwd_nmr\code\lwd_nmr_fpga\20210603good\libero_v11.9\2d_nmr_ec_fpga_150205\hdl\syn_md.v":31:0:31:5|Found counter in view:work.syn_md(verilog) instance count[3:0] 
@N: MF238 :"e:\lwd_nmr\code\lwd_nmr_fpga\20210603good\libero_v11.9\2d_nmr_ec_fpga_150205\hdl\timer.v":62:39:62:54|Found 22-bit incrementor, 'un2_timedata[21:0]'
@N: MF322 |Retiming summary: 24 registers retimed to 86 
@N: FP130 |Promoting Net Signal_Noise_Acq_0.signal_acq_0.signalclkctrl_0_clk_add on CLKINT  Signal_Noise_Acq_0.signal_acq_0.signalclkctrl_0.clk_add_keep 
@N: FP130 |Promoting Net net_27 on CLKINT  I_97 
@N: FP130 |Promoting Net ddsclkout_c on CLKBUF  ddsclkout_pad 
@N: FP130 |Promoting Net s_acq_change_0_s_rst on CLKINT  I_98 
@N: MT615 |Found clock ddsclkout with period 25.00ns 
@N: MT615 |Found clock Signal_Noise_Acq_0.noise_acq_0.noiseclk_0.clkout with period 50.00ns 
@N: MT615 |Found clock Signal_Noise_Acq_0.noise_acq_0.n_rdclk_syn_0.n_rdclk with period 50.00ns 
@N: MT615 |Found clock Signal_Noise_Acq_0.signal_acq_0.signalclkctrl_0.clk_add with period 100.00ns 
@N: MT615 |Found clock Signal_Noise_Acq_0.signal_acq_0.s_clk_div4_0.clkout with period 50.00ns 
@N: MT615 |Found clock ClockManagement_0.clk_10k_0.clock_10khz with period 1000.00ns 
@N: MT615 |Found clock ClockManagement_0.pllclk_0.GLA with period 9.09ns 
@N: MT320 |This timing report is an estimate of place and route data. For final timing results, use the FPGA vendor place and route report.
@N: MT322 |Clock constraints include only register-to-register paths associated with each individual clock.
